Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
Alexander Canario,25,672744,Maj-NL,"Chicago,Pittsburgh",25,279,258,30,59,41,8,2,8,28,19,99,4,1,0.229,0.283,0.368,LF,
Jeimer Candelario,32,600869,"Maj-AL,Maj-NL","Chicago,Cincinnati,Los Angeles,Washington",32,1146,1027,130,234,119,66,5,44,136,89,277,12,5,0.228,0.3,0.43,3B,
Mark Canha,36,592192,"Maj-AL,Maj-NL","Detroit,Kansas City,Milwaukee,New York,San Francisco",36,1095,943,106,236,168,48,1,19,110,106,199,18,2,0.25,0.342,0.364,LF,
Dominic Canzone,28,686527,"Maj-AL,Maj-NL","Arizona,Seattle",28,702,644,81,154,93,34,0,27,75,49,160,6,1,0.239,0.296,0.418,RF,
Conner Capel,27,668843,"Maj-AL,Maj-NL","Cincinnati,Oakland",27,91,78,7,21,16,5,0,0,3,12,25,6,3,0.269,0.374,0.333,LF,
Vinny Capra,28,681962,"Maj-AL,Maj-NL","Chicago,Milwaukee,Pittsburgh",28,135,123,14,16,11,4,0,1,7,5,33,2,0,0.13,0.168,0.187,3B,
Victor Caratini,32,605170,"Maj-AL,Maj-NL","Houston,Milwaukee,Minnesota",32,945,839,92,219,164,27,1,27,105,70,172,2,2,0.261,0.33,0.392,C,
Dylan Carlson,27,666185,"Maj-AL,Maj-NL","Baltimore,Chicago,St. Louis,Tampa Bay",27,765,675,64,141,101,24,2,14,72,69,180,8,4,0.209,0.293,0.313,LF,
Kerry Carpenter,28,681481,Maj-AL,Detroit,28,1331,1211,170,323,189,53,12,69,200,86,334,7,3,0.267,0.324,0.501,RF,DET
Matt Carpenter,38,572761,Maj-NL,"San Diego,St. Louis",38,389,321,33,65,37,19,0,9,45,56,117,1,2,0.202,0.322,0.346,DH,
Corbin Carroll,25,682998,Maj-NL,Arizona,25,2095,1822,365,473,259,87,45,82,255,213,433,127,20,0.26,0.344,0.492,RF,ARI
Evan Carter,23,694497,Maj-AL,Texas,23,576,500,84,121,68,31,5,17,61,63,139,24,2,0.242,0.339,0.426,CF,TEX
Curt Casali,35,592200,Maj-NL,"Cincinnati,San Francisco",35,221,188,20,35,29,5,0,1,14,24,45,0,0,0.186,0.292,0.229,C,
Triston Casas,25,671213,Maj-AL,Boston,25,850,736,99,182,108,32,2,40,106,109,227,0,1,0.247,0.347,0.459,1B,BOS
Nick Castellanos,34,592206,Maj-NL,"Philadelphia,San Diego",34,2032,1884,240,485,301,101,8,75,282,116,480,22,4,0.257,0.304,0.439,RF,
Diego Castillo,26,660636,"Maj-AL,Maj-NL","Arizona,Minnesota",26,9,7,3,2,1,1,0,0,2,2,1,0,0,0.286,0.444,0.429,SS,
Luis Castillo,31,622491,Maj-AL,Seattle,31,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,P,SEA
Harold Castro,29,605612,Maj-NL,Colorado,29,261,249,23,64,50,13,0,1,31,9,64,1,0,0.257,0.281,0.321,2B,COL
Rodolfo Castro,24,666801,Maj-NL,"Philadelphia,Pittsburgh",24,256,227,21,48,35,7,0,6,24,23,74,1,4,0.211,0.297,0.322,SS,
Willi Castro,29,650489,"Maj-AL,Maj-NL","Chicago,Colorado,Minnesota",29,1569,1383,216,335,220,69,13,33,135,131,387,58,19,0.242,0.326,0.383,LF,
Jake Cave,31,595909,Maj-NL,"Colorado,Philadelphia",31,548,506,60,121,78,25,6,12,58,33,152,8,2,0.239,0.286,0.383,CF,
Yu Chang,27,644374,Maj-AL,Boston,27,112,105,12,17,9,2,0,6,18,3,34,4,0,0.162,0.2,0.352,SS,BOS
Andr\xc3\xa9s Chaparro,27,665953,Maj-NL,Washington,27,212,193,17,40,20,15,0,5,20,13,48,1,1,0.207,0.274,0.363,1B,WSN
Matt Chapman,33,656305,"Maj-AL,Maj-NL","San Francisco,Toronto",33,1829,1598,248,385,208,104,7,66,199,203,463,28,8,0.241,0.332,0.439,3B,
Michael Chavis,27,656308,Maj-NL,Washington,27,96,91,16,22,17,3,0,2,5,5,33,1,0,0.242,0.281,0.341,2B,WSN
Tsung-Che Cheng,23,691907,Maj-NL,Pittsburgh,23,7,7,0,0,0,0,0,0,0,0,3,0,1,0.0,0.0,0.0,SS,PIT
